base_name,level,timestamp,filename,fault_name,category
1,low,2025-05-11T03:00:57.033421,1_flicker_EMI_low.jpg,flicker,EMI
1,low,2025-05-11T03:00:57.033421,1_color_shift_EMI_low.jpg,color_shift,EMI
1,low,2025-05-11T03:00:57.033421,1_desaturation_EMI_low.jpg,desaturation,EMI
1,low,2025-05-11T03:00:57.033421,1_rolling_shutter_skew_EMI_low.jpg,rolling_shutter_skew,EMI
1,low,2025-05-11T03:00:57.033421,1_salt_pepper_noise_EMI_low.jpg,salt_pepper_noise,EMI
1,low,2025-05-11T03:00:57.033421,1_blur_Environmental_low.jpg,blur,Environmental
1,low,2025-05-11T03:00:57.033421,1_brightness_Environmental_low.jpg,brightness,Environmental
1,low,2025-05-11T03:00:57.033421,1_fog_Environmental_low.jpg,fog,Environmental
1,low,2025-05-11T03:00:57.033421,1_glare_Environmental_low.jpg,glare,Environmental
1,low,2025-05-11T03:00:57.033421,1_raindrop_Environmental_low.jpg,raindrop,Environmental
1,low,2025-05-11T03:00:57.033421,1_lens_dirt_Environmental_low.jpg,lens_dirt,Environmental
1,low,2025-05-11T03:00:57.033421,1_blackout_Hardware_low.jpg,blackout,Hardware
1,low,2025-05-11T03:00:57.033421,1_frame_drop_Hardware_low.jpg,frame_drop,Hardware
1,low,2025-05-11T03:00:57.033421,1_dead_pixels_Hardware_low.jpg,dead_pixels,Hardware
1,low,2025-05-11T03:00:57.033421,1_hot_pixels_Hardware_low.jpg,hot_pixels,Hardware
1,low,2025-05-11T03:00:57.033421,1_line_dropout_Hardware_low.jpg,line_dropout,Hardware
1,low,2025-05-11T03:00:57.033421,1_temporal_lag_AI_Relevant_low.jpg,temporal_lag,AI_Relevant
1,low,2025-05-11T03:00:57.033421,1_spatial_jitter_AI_Relevant_low.jpg,spatial_jitter,AI_Relevant
1,low,2025-05-11T03:00:57.033421,1_random_patch_noise_AI_Relevant_low.jpg,random_patch_noise,AI_Relevant
1,low,2025-05-11T03:00:57.033421,1_warping_AI_Relevant_low.jpg,warping,AI_Relevant
1,medium,2025-05-11T03:00:59.791619,1_flicker_EMI_medium.jpg,flicker,EMI
1,medium,2025-05-11T03:00:59.791619,1_color_shift_EMI_medium.jpg,color_shift,EMI
1,medium,2025-05-11T03:00:59.791619,1_desaturation_EMI_medium.jpg,desaturation,EMI
1,medium,2025-05-11T03:00:59.791619,1_rolling_shutter_skew_EMI_medium.jpg,rolling_shutter_skew,EMI
1,medium,2025-05-11T03:00:59.791619,1_salt_pepper_noise_EMI_medium.jpg,salt_pepper_noise,EMI
1,medium,2025-05-11T03:00:59.791619,1_blur_Environmental_medium.jpg,blur,Environmental
1,medium,2025-05-11T03:00:59.791619,1_brightness_Environmental_medium.jpg,brightness,Environmental
1,medium,2025-05-11T03:00:59.791619,1_fog_Environmental_medium.jpg,fog,Environmental
1,medium,2025-05-11T03:00:59.791619,1_glare_Environmental_medium.jpg,glare,Environmental
1,medium,2025-05-11T03:00:59.791619,1_raindrop_Environmental_medium.jpg,raindrop,Environmental
1,medium,2025-05-11T03:00:59.791619,1_lens_dirt_Environmental_medium.jpg,lens_dirt,Environmental
1,medium,2025-05-11T03:00:59.791619,1_blackout_Hardware_medium.jpg,blackout,Hardware
1,medium,2025-05-11T03:00:59.791619,1_frame_drop_Hardware_medium.jpg,frame_drop,Hardware
1,medium,2025-05-11T03:00:59.791619,1_dead_pixels_Hardware_medium.jpg,dead_pixels,Hardware
1,medium,2025-05-11T03:00:59.791619,1_hot_pixels_Hardware_medium.jpg,hot_pixels,Hardware
1,medium,2025-05-11T03:00:59.791619,1_line_dropout_Hardware_medium.jpg,line_dropout,Hardware
1,medium,2025-05-11T03:00:59.791619,1_temporal_lag_AI_Relevant_medium.jpg,temporal_lag,AI_Relevant
1,medium,2025-05-11T03:00:59.791619,1_spatial_jitter_AI_Relevant_medium.jpg,spatial_jitter,AI_Relevant
1,medium,2025-05-11T03:00:59.791619,1_random_patch_noise_AI_Relevant_medium.jpg,random_patch_noise,AI_Relevant
1,medium,2025-05-11T03:00:59.791619,1_warping_AI_Relevant_medium.jpg,warping,AI_Relevant
1,extreme,2025-05-11T03:01:02.594104,1_flicker_EMI_extreme.jpg,flicker,EMI
1,extreme,2025-05-11T03:01:02.594104,1_color_shift_EMI_extreme.jpg,color_shift,EMI
1,extreme,2025-05-11T03:01:02.594104,1_desaturation_EMI_extreme.jpg,desaturation,EMI
1,extreme,2025-05-11T03:01:02.594104,1_rolling_shutter_skew_EMI_extreme.jpg,rolling_shutter_skew,EMI
1,extreme,2025-05-11T03:01:02.594104,1_salt_pepper_noise_EMI_extreme.jpg,salt_pepper_noise,EMI
1,extreme,2025-05-11T03:01:02.594104,1_blur_Environmental_extreme.jpg,blur,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_brightness_Environmental_extreme.jpg,brightness,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_fog_Environmental_extreme.jpg,fog,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_glare_Environmental_extreme.jpg,glare,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_raindrop_Environmental_extreme.jpg,raindrop,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_lens_dirt_Environmental_extreme.jpg,lens_dirt,Environmental
1,extreme,2025-05-11T03:01:02.594104,1_blackout_Hardware_extreme.jpg,blackout,Hardware
1,extreme,2025-05-11T03:01:02.594104,1_frame_drop_Hardware_extreme.jpg,frame_drop,Hardware
1,extreme,2025-05-11T03:01:02.594104,1_dead_pixels_Hardware_extreme.jpg,dead_pixels,Hardware
1,extreme,2025-05-11T03:01:02.594104,1_hot_pixels_Hardware_extreme.jpg,hot_pixels,Hardware
1,extreme,2025-05-11T03:01:02.594104,1_line_dropout_Hardware_extreme.jpg,line_dropout,Hardware
1,extreme,2025-05-11T03:01:02.594104,1_temporal_lag_AI_Relevant_extreme.jpg,temporal_lag,AI_Relevant
1,extreme,2025-05-11T03:01:02.594104,1_spatial_jitter_AI_Relevant_extreme.jpg,spatial_jitter,AI_Relevant
1,extreme,2025-05-11T03:01:02.594104,1_random_patch_noise_AI_Relevant_extreme.jpg,random_patch_noise,AI_Relevant
1,extreme,2025-05-11T03:01:02.594104,1_warping_AI_Relevant_extreme.jpg,warping,AI_Relevant
